orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,productCode,quantityOrdered,priceEach,orderLineNumber,paymentDate,amount,interactionID,interactionType,interactionDate,reviewID,reviewDate,rating,reviewText,employeeNumber,officeCode
992,2024-08-20,2024-08-27,NULL,In Process,Order placed by customer 526,526,PRD00001,57,93.95,1,NULL,NULL,NULL,NULL,NULL,105,2024-04-23,2,"Average product, could be better.",76,197
837,2024-07-24,2024-07-31,2024-07-26,Shipped,Order placed by customer 601,601,PRD00002,55,32.17,1,NULL,NULL,415,In-Person Meeting,2023-10-30,NULL,NULL,NULL,NULL,337,66
318,2024-07-22,2024-07-29,2024-07-24,Shipped,Order placed by customer 732,732,PRD00002,52,46.39,1,2024-08-04,2178.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,448,394
318,2024-07-22,2024-07-29,2024-07-24,Shipped,Order placed by customer 732,732,PRD00002,52,46.39,1,2024-07-12,916.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,448,394
606,2024-09-19,2024-09-26,NULL,In Process,Order placed by customer 786,786,PRD00002,4,59.85,1,2024-07-26,4392.82,919,Email,2024-06-21,NULL,NULL,NULL,NULL,919,931
533,2024-07-27,2024-08-03,2024-07-29,Shipped,Order placed by customer 324,324,PRD00003,29,25.73,1,2024-07-03,2012.90,112,Email,2023-10-05,763,2024-08-30,5,"Not satisfied, would not buy again.",172,144
533,2024-07-27,2024-08-03,2024-07-29,Shipped,Order placed by customer 324,324,PRD00003,29,25.73,1,2024-08-20,798.44,112,Email,2023-10-05,763,2024-08-30,5,"Not satisfied, would not buy again.",172,144
683,2024-08-09,2024-08-16,NULL,In Process,Order placed by customer 289,289,PRD00004,72,82.58,1,NULL,NULL,NULL,NULL,NULL,821,2024-07-22,2,Fantastic! Exceeded my expectations.,385,632
623,2024-09-16,2024-09-23,NULL,In Process,Order placed by customer 786,786,PRD00004,28,17.48,1,2024-07-26,4392.82,919,Email,2024-06-21,821,2024-07-22,2,Fantastic! Exceeded my expectations.,919,931
827,2024-08-22,2024-08-29,NULL,Pending,Order placed by customer 986,986,PRD00004,53,22.61,1,2024-06-13,2789.19,608,Online Chat,2024-07-30,821,2024-07-22,2,Fantastic! Exceeded my expectations.,624,494
827,2024-08-22,2024-08-29,NULL,Pending,Order placed by customer 986,986,PRD00004,53,22.61,1,2024-06-13,2789.19,813,Email,2024-09-02,821,2024-07-22,2,Fantastic! Exceeded my expectations.,624,494
827,2024-08-22,2024-08-29,NULL,Pending,Order placed by customer 986,986,PRD00004,53,22.61,1,2024-06-13,2789.19,830,Phone Call,2023-10-12,821,2024-07-22,2,Fantastic! Exceeded my expectations.,624,494
880,2024-09-19,2024-09-26,NULL,In Process,Order placed by customer 824,824,PRD00007,50,25.41,1,NULL,NULL,291,Phone Call,2024-01-07,NULL,NULL,NULL,NULL,128,44
156,2024-07-31,2024-08-07,2024-08-02,Shipped,Order placed by customer 876,876,PRD00008,4,99.15,1,2024-07-08,3475.23,619,In-Person Meeting,2024-09-17,NULL,NULL,NULL,NULL,782,324
376,2024-09-10,2024-09-17,NULL,Pending,Order placed by customer 139,139,PRD00012,48,63.68,1,2024-09-13,4982.80,NULL,NULL,NULL,925,2024-04-01,4,"Not satisfied, would not buy again.",133,859
376,2024-09-10,2024-09-17,NULL,Pending,Order placed by customer 139,139,PRD00012,48,63.68,1,2024-09-13,4982.80,NULL,NULL,NULL,219,2024-06-08,2,"Good quality, but a bit expensive.",133,859
944,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 181,181,PRD00013,11,15.95,1,2024-07-26,1530.13,993,Email,2023-12-02,NULL,NULL,NULL,NULL,113,102
480,2024-08-31,2024-09-07,2024-09-02,Shipped,Order placed by customer 141,141,PRD00014,49,73.36,1,NULL,NULL,463,Phone Call,2023-12-27,446,2024-06-17,1,"Good quality, but a bit expensive.",447,463
77,2024-08-01,2024-08-08,NULL,In Process,Order placed by customer 81,81,PRD00015,71,99.98,1,2024-09-17,2185.24,43,In-Person Meeting,2024-04-26,NULL,NULL,NULL,NULL,294,788
77,2024-08-01,2024-08-08,NULL,In Process,Order placed by customer 81,81,PRD00015,71,99.98,1,2024-08-06,4196.69,43,In-Person Meeting,2024-04-26,NULL,NULL,NULL,NULL,294,788
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-01,1091.77,554,Email,2024-05-18,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-01,1091.77,863,In-Person Meeting,2023-11-07,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-20,1651.21,554,Email,2024-05-18,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-20,1651.21,863,In-Person Meeting,2023-11-07,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-01,1229.63,554,Email,2024-05-18,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-07-01,1229.63,863,In-Person Meeting,2023-11-07,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-09-16,487.39,554,Email,2024-05-18,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-09-16,487.39,863,In-Person Meeting,2023-11-07,NULL,NULL,NULL,NULL,738,733
