productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
PRD00001,Product 1,Planes 553,1:24,Vendor B,"High-quality product 1, designed for performance and durability.",658,744.67,1030.49
PRD00002,Product 2,Ships 737,1:50,Vendor C,"High-quality product 2, designed for performance and durability.",920,44.30,54.47
PRD00003,Product 3,Classic Cars 948,1:18,Vendor A,"High-quality product 3, designed for performance and durability.",350,208.36,257.31
PRD00004,Product 4,Ships 971,1:24,Vendor B,"High-quality product 4, designed for performance and durability.",736,127.78,189.22
PRD00005,Product 5,Ships 2,1:50,Vendor C,"High-quality product 5, designed for performance and durability.",594,369.35,533.16
PRD00006,Product 6,Planes 150,1:18,Vendor A,"High-quality product 6, designed for performance and durability.",927,302.10,396.80
PRD00007,Product 7,Ships 994,1:24,Vendor B,"High-quality product 7, designed for performance and durability.",720,927.99,1234.77
PRD00008,Product 8,Planes 862,1:50,Vendor C,"High-quality product 8, designed for performance and durability.",317,729.07,1012.96
PRD00009,Product 9,Ships 696,1:18,Vendor A,"High-quality product 9, designed for performance and durability.",860,574.56,735.91
PRD00010,Product 10,Classic Cars 335,1:24,Vendor B,"High-quality product 10, designed for performance and durability.",775,203.69,287.24
PRD00011,Product 11,Classic Cars 452,1:50,Vendor C,"High-quality product 11, designed for performance and durability.",488,710.36,926.52
PRD00012,Product 12,Classic Cars 725,1:18,Vendor A,"High-quality product 12, designed for performance and durability.",982,662.25,893.55
PRD00013,Product 13,Ships 674,1:24,Vendor B,"High-quality product 13, designed for performance and durability.",618,84.31,111.08
PRD00014,Product 14,Motorcycles 123,1:50,Vendor C,"High-quality product 14, designed for performance and durability.",863,267.89,336.03
PRD00015,Product 15,Trains 111,1:18,Vendor A,"High-quality product 15, designed for performance and durability.",784,451.16,573.03
PRD00016,Product 16,Ships 404,1:24,Vendor B,"High-quality product 16, designed for performance and durability.",509,534.31,678.80
PRD00017,Product 17,Ships 568,1:50,Vendor C,"High-quality product 17, designed for performance and durability.",691,133.27,199.60
PRD00018,Product 18,Planes 470,1:18,Vendor A,"High-quality product 18, designed for performance and durability.",179,407.23,558.18
PRD00019,Product 19,Classic Cars 364,1:24,Vendor B,"High-quality product 19, designed for performance and durability.",255,841.35,1127.67
PRD00020,Product 20,Ships 94,1:50,Vendor C,"High-quality product 20, designed for performance and durability.",884,898.17,1141.14
PRD00021,Product 21,Motorcycles 409,1:18,Vendor A,"High-quality product 21, designed for performance and durability.",910,601.73,902.27
PRD00022,Product 22,Planes 40,1:24,Vendor B,"High-quality product 22, designed for performance and durability.",775,589.74,734.65
PRD00023,Product 23,Motorcycles 472,1:50,Vendor C,"High-quality product 23, designed for performance and durability.",918,383.38,518.99
PRD00024,Product 24,Motorcycles 996,1:18,Vendor A,"High-quality product 24, designed for performance and durability.",732,975.51,1316.98
PRD00025,Product 25,Motorcycles 694,1:24,Vendor B,"High-quality product 25, designed for performance and durability.",866,250.64,306.03
PRD00026,Product 26,Trains 799,1:50,Vendor C,"High-quality product 26, designed for performance and durability.",898,549.17,683.35
PRD00027,Product 27,Planes 463,1:18,Vendor A,"High-quality product 27, designed for performance and durability.",184,175.11,210.45
PRD00028,Product 28,Planes 882,1:24,Vendor B,"High-quality product 28, designed for performance and durability.",615,952.16,1227.62
PRD00029,Product 29,Classic Cars 261,1:50,Vendor C,"High-quality product 29, designed for performance and durability.",639,483.90,669.42
PRD00030,Product 30,Classic Cars 483,1:18,Vendor A,"High-quality product 30, designed for performance and durability.",131,933.24,1193.48
PRD00031,Product 31,Classic Cars 345,1:24,Vendor B,"High-quality product 31, designed for performance and durability.",908,409.46,534.30
PRD00032,Product 32,Motorcycles 281,1:50,Vendor C,"High-quality product 32, designed for performance and durability.",1000,904.55,1089.89
PRD00033,Product 33,Motorcycles 904,1:18,Vendor A,"High-quality product 33, designed for performance and durability.",843,15.43,19.21
PRD00034,Product 34,Motorcycles 433,1:24,Vendor B,"High-quality product 34, designed for performance and durability.",545,230.78,289.50
PRD00035,Product 35,Trains 64,1:50,Vendor C,"High-quality product 35, designed for performance and durability.",641,605.70,854.88
PRD00036,Product 36,Trains 330,1:18,Vendor A,"High-quality product 36, designed for performance and durability.",493,134.38,197.43
PRD00037,Product 37,Motorcycles 49,1:24,Vendor B,"High-quality product 37, designed for performance and durability.",792,194.12,259.08
PRD00038,Product 38,Classic Cars 968,1:50,Vendor C,"High-quality product 38, designed for performance and durability.",382,270.63,325.85
PRD00039,Product 39,Planes 838,1:18,Vendor A,"High-quality product 39, designed for performance and durability.",127,634.27,905.75
PRD00040,Product 40,Planes 753,1:24,Vendor B,"High-quality product 40, designed for performance and durability.",782,200.54,259.87
PRD00041,Product 41,Classic Cars 791,1:50,Vendor C,"High-quality product 41, designed for performance and durability.",403,345.62,495.15
PRD00042,Product 42,Motorcycles 820,1:18,Vendor A,"High-quality product 42, designed for performance and durability.",230,802.15,1082.35
PRD00043,Product 43,Motorcycles 263,1:24,Vendor B,"High-quality product 43, designed for performance and durability.",121,690.85,1018.50
PRD00044,Product 44,Ships 947,1:50,Vendor C,"High-quality product 44, designed for performance and durability.",399,472.90,653.64
PRD00045,Product 45,Trains 53,1:18,Vendor A,"High-quality product 45, designed for performance and durability.",575,738.72,1082.07
PRD00046,Product 46,Planes 237,1:24,Vendor B,"High-quality product 46, designed for performance and durability.",978,560.23,811.27
PRD00047,Product 47,Ships 970,1:50,Vendor C,"High-quality product 47, designed for performance and durability.",256,379.82,483.84
PRD00048,Product 48,Trains 232,1:18,Vendor A,"High-quality product 48, designed for performance and durability.",954,120.38,145.72
PRD00049,Product 49,Planes 298,1:24,Vendor B,"High-quality product 49, designed for performance and durability.",458,769.96,1111.74
PRD00050,Product 50,Planes 317,1:50,Vendor C,"High-quality product 50, designed for performance and durability.",206,783.67,1067.19
PRD00051,Product 51,Classic Cars 508,1:18,Vendor A,"High-quality product 51, designed for performance and durability.",808,372.59,546.43
PRD00052,Product 52,Ships 522,1:24,Vendor B,"High-quality product 52, designed for performance and durability.",122,685.84,923.42
PRD00053,Product 53,Classic Cars 139,1:50,Vendor C,"High-quality product 53, designed for performance and durability.",396,454.39,581.19
PRD00054,Product 54,Motorcycles 99,1:18,Vendor A,"High-quality product 54, designed for performance and durability.",508,375.41,558.24
PRD00055,Product 55,Classic Cars 120,1:24,Vendor B,"High-quality product 55, designed for performance and durability.",474,60.10,87.16
PRD00056,Product 56,Planes 917,1:50,Vendor C,"High-quality product 56, designed for performance and durability.",758,695.45,895.81
PRD00057,Product 57,Ships 746,1:18,Vendor A,"High-quality product 57, designed for performance and durability.",459,950.03,1256.29
PRD00058,Product 58,Planes 376,1:24,Vendor B,"High-quality product 58, designed for performance and durability.",993,557.86,678.94
PRD00059,Product 59,Classic Cars 357,1:50,Vendor C,"High-quality product 59, designed for performance and durability.",459,959.52,1283.71
PRD00060,Product 60,Ships 435,1:18,Vendor A,"High-quality product 60, designed for performance and durability.",352,745.29,925.79
PRD00061,Product 61,Motorcycles 686,1:24,Vendor B,"High-quality product 61, designed for performance and durability.",208,848.77,1146.83
PRD00062,Product 62,Ships 314,1:50,Vendor C,"High-quality product 62, designed for performance and durability.",72,375.87,558.00
PRD00063,Product 63,Planes 701,1:18,Vendor A,"High-quality product 63, designed for performance and durability.",109,725.34,909.57
PRD00064,Product 64,Planes 870,1:24,Vendor B,"High-quality product 64, designed for performance and durability.",598,627.32,921.96
PRD00065,Product 65,Classic Cars 896,1:50,Vendor C,"High-quality product 65, designed for performance and durability.",826,964.28,1261.64
PRD00066,Product 66,Classic Cars 262,1:18,Vendor A,"High-quality product 66, designed for performance and durability.",115,700.52,848.67
PRD00067,Product 67,Classic Cars 182,1:24,Vendor B,"High-quality product 67, designed for performance and durability.",118,575.27,852.36
PRD00068,Product 68,Motorcycles 437,1:50,Vendor C,"High-quality product 68, designed for performance and durability.",688,373.31,484.78
PRD00069,Product 69,Classic Cars 120,1:18,Vendor A,"High-quality product 69, designed for performance and durability.",964,895.65,1080.55
PRD00070,Product 70,Motorcycles 439,1:24,Vendor B,"High-quality product 70, designed for performance and durability.",425,609.70,887.14
PRD00071,Product 71,Classic Cars 954,1:50,Vendor C,"High-quality product 71, designed for performance and durability.",732,744.53,1093.18
PRD00072,Product 72,Ships 66,1:18,Vendor A,"High-quality product 72, designed for performance and durability.",72,704.13,1023.17
PRD00073,Product 73,Ships 181,1:24,Vendor B,"High-quality product 73, designed for performance and durability.",805,294.59,376.17
PRD00074,Product 74,Classic Cars 364,1:50,Vendor C,"High-quality product 74, designed for performance and durability.",999,611.11,912.10
PRD00075,Product 75,Trains 407,1:18,Vendor A,"High-quality product 75, designed for performance and durability.",327,924.12,1155.86
PRD00076,Product 76,Trains 600,1:24,Vendor B,"High-quality product 76, designed for performance and durability.",396,170.34,234.99
PRD00077,Product 77,Planes 171,1:50,Vendor C,"High-quality product 77, designed for performance and durability.",444,616.53,913.01
PRD00078,Product 78,Classic Cars 510,1:18,Vendor A,"High-quality product 78, designed for performance and durability.",570,451.49,562.72
PRD00079,Product 79,Classic Cars 481,1:24,Vendor B,"High-quality product 79, designed for performance and durability.",262,574.35,700.42
PRD00080,Product 80,Trains 308,1:50,Vendor C,"High-quality product 80, designed for performance and durability.",950,256.21,343.08
PRD00081,Product 81,Ships 746,1:18,Vendor A,"High-quality product 81, designed for performance and durability.",923,278.55,367.35
PRD00082,Product 82,Trains 19,1:24,Vendor B,"High-quality product 82, designed for performance and durability.",221,203.25,292.91
PRD00083,Product 83,Trains 894,1:50,Vendor C,"High-quality product 83, designed for performance and durability.",616,289.62,419.70
PRD00084,Product 84,Trains 604,1:18,Vendor A,"High-quality product 84, designed for performance and durability.",317,723.20,1024.98
PRD00085,Product 85,Trains 24,1:24,Vendor B,"High-quality product 85, designed for performance and durability.",650,620.72,915.78
PRD00086,Product 86,Planes 470,1:50,Vendor C,"High-quality product 86, designed for performance and durability.",529,370.95,554.76
PRD00087,Product 87,Motorcycles 74,1:18,Vendor A,"High-quality product 87, designed for performance and durability.",748,852.88,1256.89
